3,5,8,9,19,21,30
8,11,12,14,20,21,28
11,12,21,24,25,28,29
6,7,13,15,18,19,29
2,8,9,17,19,24,28
1,11,18,19,26,30,31
2,5,6,14,20,24,25
1,4,13,21,22,24,27
3,10,13,18,19,23,24
6,10,13,18,19,20,30
7,13,16,19,20,27,31
2,3,7,12,17,21,22
1,4,7,9,20,21,26
1,8,16,20,21,26,31
8,11,13,16,26,28,29
1,2,7,12,16,20,25
9,11,13,14,19,20,22
4,7,8,14,21,27,31
3,4,9,12,14,28,29
6,12,17,21,26,29,31
2,8,10,11,12,18,31
2,4,5,12,18,22,27
9,10,17,19,25,27,28
7,8,12,15,16,18,30
1,10,13,17,21,25,29
2,8,10,11,16,20,28
6,12,15,17,20,23,28
2,9,12,15,18,20,24
3,5,13,21,22,24,27
4,8,9,17,20,27,30
4,6,7,9,11,24,28
3,4,7,16,18,20,27
3,10,12,13,23,28,31
6,12,15,18,23,27,29
3,7,11,12,17,22,23
2,7,11,12,13,16,27
2,7,12,16,18,22,23
8,15,17,18,26,29,30
4,5,6,9,13,25,30
2,10,12,14,19,21,27
7,12,23,25,27,30,31
6,11,14,16,17,29,31
4,7,17,18,27,28,31
7,9,15,23,26,30,31
2,5,7,12,15,29,30
1,4,5,8,10,16,30
5,7,13,15,16,20,22
6,8,10,17,23,29,31
4,11,16,17,20,23,31
14,16,17,18,22,23,31
2,8,10,14,16,24,28
7,12,14,20,22,24,26
3,7,16,18,19,25,30
4,11,18,21,24,25,27
1,8,16,18,22,25,28
9,10,15,16,17,23,31
3,5,10,12,18,26,28
11,12,13,24,25,29,30
3,4,5,8,10,24,25
1,6,7,8,17,18,22
5,8,10,13,19,25,28
7,11,13,18,23,28,30
2,3,6,9,27,28,29
5,6,8,17,18,20,27
7,20,21,27,28,30,31
4,6,10,11,12,17,24
1,4,8,14,19,22,26
1,4,6,14,20,21,27
1,3,5,6,8,26,29
2,4,5,9,11,28,29
4,6,7,8,24,27,31
1,2,6,8,9,18,21
8,9,10,11,14,18,23
6,12,15,17,20,23,29
2,3,6,14,28,30,31
10,15,16,21,25,26,29
6,7,11,12,14,19,21
4,6,8,13,14,19,23
1,8,10,12,15,21,28
2,3,4,10,18,19,28
6,10,12,25,26,27,29
2,9,10,13,16,17,22
2,9,10,13,15,21,26
7,10,15,16,18,19,24
3,7,21,22,23,26,31
3,6,8,9,11,19,26
7,9,10,15,18,21,22
3,4,17,18,19,23,27
3,6,16,18,19,24,31
1,5,6,8,12,23,26
8,10,15,16,23,28,29
5,7,8,9,15,26,29
1,8,9,16,21,23,30
7,10,13,15,19,23,26
5,7,8,18,20,23,28
3,4,9,15,17,28,29
1,10,12,22,23,25,28
1,3,7,12,26,27,28
4,14,20,27,28,29,30
3,4,8,15,16,20,21
4,5,9,13,19,20,29
4,7,10,19,22,26,28
4,5,19,23,25,26,31
3,13,20,25,26,27,30
3,7,8,12,21,24,29
5,8,17,20,25,26,28
4,7,13,15,18,20,23
2,6,15,17,22,24,25
3,18,20,23,24,26,28
4,8,10,11,14,18,26
1,6,8,14,17,21,26
11,13,18,21,24,25,26
6,9,10,12,17,27,30
7,8,9,23,26,29,31
7,8,13,16,18,21,22
2,5,12,16,18,24,30
5,7,9,16,18,20,27
2,5,7,9,15,22,30
2,3,6,12,24,25,28
2,8,16,21,22,27,28
3,9,10,12,14,19,24
12,13,14,15,16,23,31
6,11,16,18,19,21,23
12,15,20,21,22,24,27
1,8,12,13,17,26,30
9,11,14,18,24,27,29
1,5,7,9,17,21,22
2,7,8,15,19,20,22
6,12,13,15,16,28,29
5,8,10,20,23,25,28
4,5,11,22,26,27,30
3,11,14,18,19,23,26
1,4,8,10,20,22,31
1,2,8,10,14,16,18
2,5,6,11,25,27,28
17,19,20,21,23,27,30
3,5,6,8,16,19,28
9,13,15,17,21,27,29
3,4,11,13,18,19,22
5,8,9,12,14,17,22
2,7,9,15,23,25,30
6,11,18,21,23,29,30
5,10,11,15,22,29,31
2,4,7,8,13,15,27
2,3,6,10,11,13,15
1,8,9,17,18,19,23
2,3,6,8,9,22,27
7,9,11,18,21,22,29
3,16,20,21,25,26,30
1,2,7,16,17,26,29
3,11,13,17,22,29,31
1,3,5,10,14,25,31
2,13,21,23,25,29,30
3,5,9,14,21,29,30
3,13,15,16,25,27,28
1,3,7,15,16,29,31
2,10,17,18,20,25,29
7,14,20,23,27,28,29
1,10,14,17,23,28,31
4,8,9,12,13,25,30
2,3,5,14,15,20,25
6,10,11,14,20,24,25
7,10,16,18,24,25,27
7,10,12,13,17,21,22
4,5,7,8,11,19,24
6,7,11,19,22,23,25
10,11,12,13,15,20,26
1,3,4,20,23,25,26
9,11,14,18,24,26,29
1,9,10,11,15,20,21
3,7,11,18,20,23,29
3,6,10,21,25,27,30
2,7,11,13,25,27,28
3,5,6,7,17,19,25
4,6,7,17,21,26,31
3,4,6,9,10,18,29
3,11,17,18,24,25,28
2,3,4,9,12,23,24
3,4,5,11,21,24,30
5,13,20,21,23,25,30
6,8,10,15,17,26,28
2,3,7,15,22,26,31
5,7,16,17,21,24,27
6,9,10,14,16,17,22
7,11,18,21,24,28,29
6,15,17,22,23,26,27
1,3,6,15,17,23,26
8,12,21,23,24,26,28
2,7,13,16,18,20,29
3,4,5,6,14,16,27
3,4,11,24,26,28,29
4,11,14,15,18,28,31
12,13,16,25,28,30,31
3,4,7,9,15,21,23
2,3,5,14,15,22,23
4,13,14,22,26,29,30
1,2,4,11,17,18,28
1,2,9,10,16,23,28
2,15,20,21,22,23,24
10,12,13,17,21,23,27
2,7,9,13,14,16,29
5,6,7,11,21,26,29
2,3,7,10,15,17,20
2,11,20,21,27,28,31
5,6,9,17,19,20,23
13,16,21,23,24,27,28
1,5,8,10,12,25,28
2,4,17,21,28,29,31
5,7,14,17,19,23,29
7,10,18,19,20,23,27
1,5,13,24,26,27,29
5,11,14,17,18,26,30
6,9,10,18,21,24,26
2,9,11,13,21,28,29
4,7,11,13,15,18,25
5,8,9,14,25,28,30
2,6,16,17,18,20,26
2,3,11,12,17,18,21
3,6,10,16,17,25,28
2,4,9,17,19,25,31
3,6,7,9,15,27,31
3,12,13,16,18,19,27
3,4,10,11,14,19,28
1,6,8,14,17,19,23
1,7,12,14,22,24,26
1,4,8,12,22,24,28
2,11,12,15,17,20,25
4,10,14,18,21,22,23
9,13,15,21,25,27,30
5,8,12,18,24,27,29
4,10,12,13,14,24,26
4,5,6,12,15,16,26
3,6,7,16,22,23,28
4,5,13,17,23,24,29
13,17,18,19,22,27,29
4,5,6,9,11,19,23
3,6,14,18,19,29,31
1,2,10,19,24,26,28
5,13,15,23,27,29,30
1,4,8,13,19,22,25
3,5,6,12,20,23,31
2,3,5,9,16,19,25
2,4,8,13,14,17,22
1,6,12,13,15,16,29
1,5,7,14,21,30,31
9,10,14,16,18,19,24
2,9,10,12,17,25,28
2,5,14,16,17,18,22
3,8,12,20,21,27,29
1,5,10,14,15,29,30
5,11,14,18,20,27,31
4,9,12,19,25,28,31
4,12,14,19,23,28,29
18,20,21,22,25,27,31
3,11,23,24,25,28,30
1,5,12,16,27,30,31
5,12,17,19,21,24,28
1,2,3,9,13,24,30
6,9,10,13,21,26,29
5,8,10,12,18,24,31
5,8,9,18,23,26,31
4,5,17,18,20,27,28
9,18,19,21,23,27,30
